series,episode,name,date,player,total
7,9,The pendulum draws the eye.,2018-10-31,Rhod Gilbert,9
7,9,The pendulum draws the eye.,2018-10-31,Phil Wang,11
7,9,The pendulum draws the eye.,2018-10-31,James Acaster,14
7,9,The pendulum draws the eye.,2018-10-31,Jessica Knappett,18
7,9,The pendulum draws the eye.,2018-10-31,Kerry Godliman,21
7,10,I can hear it gooping.,2018-11-07,Jessica Knappett,11
7,10,I can hear it gooping.,2018-11-07,Phil Wang,13
7,10,I can hear it gooping.,2018-11-07,Rhod Gilbert,14
7,10,I can hear it gooping.,2018-11-07,Kerry Godliman,15
7,10,I can hear it gooping.,2018-11-07,James Acaster,19
8,1,Hello.,2019-05-08,Paul Sinha,10
8,1,Hello.,2019-05-08,Joe Thomas,12
8,1,Hello.,2019-05-08,Sian Gibson,16
8,1,Hello.,2019-05-08,Iain Stirling,20
8,1,Hello.,2019-05-08,Lou Sanders,20
8,2,A novel about Russian Gulags.,2019-05-15,Iain Stirling,13
8,2,A novel about Russian Gulags.,2019-05-15,Sian Gibson,16
8,2,A novel about Russian Gulags.,2019-05-15,Paul Sinha,19
8,2,A novel about Russian Gulags.,2019-05-15,Joe Thomas,20
8,2,A novel about Russian Gulags.,2019-05-15,Lou Sanders,21
8,3,Stuck in a mammal groove.,2019-05-22,Joe Thomas,10
8,3,Stuck in a mammal groove.,2019-05-22,Paul Sinha,11
8,3,Stuck in a mammal groove.,2019-05-22,Sian Gibson,16
8,3,Stuck in a mammal groove.,2019-05-22,Iain Stirling,17
8,3,Stuck in a mammal groove.,2019-05-22,Lou Sanders,19
8,4,The barrel dad.,2019-05-29,Iain Stirling,10
8,4,The barrel dad.,2019-05-29,Paul Sinha,11
8,4,The barrel dad.,2019-05-29,Joe Thomas,15
8,4,The barrel dad.,2019-05-29,Lou Sanders,15
8,4,The barrel dad.,2019-05-29,Sian Gibson,15
8,5,Stay humble.,2019-06-05,Paul Sinha,14
8,5,Stay humble.,2019-06-05,Sian Gibson,17
8,5,Stay humble.,2019-06-05,Joe Thomas,20
8,5,Stay humble.,2019-06-05,Lou Sanders,20
8,5,Stay humble.,2019-06-05,Iain Stirling,21
8,6,Rock 'n' roll umlaut.,2019-06-12,Paul Sinha,9
8,6,Rock 'n' roll umlaut.,2019-06-12,Iain Stirling,10
8,6,Rock 'n' roll umlaut.,2019-06-12,Lou Sanders,12
8,6,Rock 'n' roll umlaut.,2019-06-12,Joe Thomas,14
8,6,Rock 'n' roll umlaut.,2019-06-12,Sian Gibson,15
8,7,This is Trevor.,2019-06-19,Iain Stirling,10
8,7,This is Trevor.,2019-06-19,Sian Gibson,11
8,7,This is Trevor.,2019-06-19,Lou Sanders,13
8,7,This is Trevor.,2019-06-19,Paul Sinha,13
8,7,This is Trevor.,2019-06-19,Joe Thomas,24
8,8,Aquatic sewing machine.,2019-06-26,Joe Thomas,7
8,8,Aquatic sewing machine.,2019-06-26,Sian Gibson,8
8,8,Aquatic sewing machine.,2019-06-26,Lou Sanders,12
8,8,Aquatic sewing machine.,2019-06-26,Iain Stirling,18
8,8,Aquatic sewing machine.,2019-06-26,Paul Sinha,21
8,9,I've been a bit ill.,2019-07-03,Joe Thomas,16
8,9,I've been a bit ill.,2019-07-03,Sian Gibson,16
8,9,I've been a bit ill.,2019-07-03,Paul Sinha,17
8,9,I've been a bit ill.,2019-07-03,Iain Stirling,19
8,9,I've been a bit ill.,2019-07-03,Lou Sanders,20
8,10,Clumpy swayey clumsy man.,2019-07-10,Paul Sinha,11
8,10,Clumpy swayey clumsy man.,2019-07-10,Joe Thomas,12
8,10,Clumpy swayey clumsy man.,2019-07-10,Lou Sanders,12
8,10,Clumpy swayey clumsy man.,2019-07-10,Sian Gibson,13
8,10,Clumpy swayey clumsy man.,2019-07-10,Iain Stirling,18
9,1,Join our cult.,2019-09-04,Jo Brand,12
9,1,Join our cult.,2019-09-04,Katy Wix,12
9,1,Join our cult.,2019-09-04,David Baddiel,14
9,1,Join our cult.,2019-09-04,Ed Gamble,16
9,1,Join our cult.,2019-09-04,Rose Matafeo,17
9,2,Butter in the microwave.,2019-09-11,David Baddiel,10
9,2,Butter in the microwave.,2019-09-11,Jo Brand,15
9,2,Butter in the microwave.,2019-09-11,Rose Matafeo,15
